uri,check_full_titles_for_volume_info?,check_copyright_ocr_for_edition_info?,check_fm_and_marc_titles_for_differences?
https://hdl.handle.net/2027/heb.00001.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00003.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00004.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00005.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00007.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00014.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00018.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00019.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00020.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00021.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00022.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00026.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00027,N,N,YES
https://hdl.handle.net/2027/heb.00027.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00027.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00033.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00036.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00037.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00038.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00039.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00041.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00042.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00050.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00053.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00055.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00057.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00058.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00059.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00061.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00062.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00064.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00065.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00069.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00070.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00072.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00073.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00080.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00082.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00088.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00089.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00092.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00094.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00096.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00097.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00103.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00104.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00105.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00106.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00107.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00108.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00109.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00111.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00114.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00115.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00117.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00118.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00119.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00121.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00123.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00124.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00125.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00127.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00129.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00130.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00131.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00133.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00137.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00138.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00139.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00141.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00142.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00143.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00144.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00147.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00148.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00149.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00151.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00152.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00153.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00154.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00155.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00158.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00159.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00162.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00163.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00164.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00165.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00166.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00167.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00168.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00169.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00170.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00172.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00174.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00177.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00178.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00180.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00185.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00188.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00189,N,N,YES
https://hdl.handle.net/2027/heb.00189.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00189.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00191.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00192.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00194.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00195.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00197.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00200.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00201.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00203.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00204.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00205.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00207.0001.001,N,N,N
